flooded,negative
fault,negative
off,negative
shutdown,negative
outage,negative
cut,negative
power outage,negative
power cut,negative
blackout,negative
disruption,negative
electrical failure,negative
failure,negative
interruption,negative
disconnection,negative
power disconnection,negative
no power,negative
no lights,negative
without power,negative
blew,negative
vandalized,negative
darkness,negative
